date, pm25, pm10, o3, no2, so2, co
2022/6/1, 22, , , 8, , 1
2022/6/2, 35, , , 10, 1, 1
2022/6/3, 41, , , 8, , 1
2022/6/4, 38, , , 6, , 1
2022/6/5, 29, , , 3, , 1
2022/6/6, 23, , , 4, 1, 1
2022/6/7, 26, , , 3, , 2
2022/6/8, 19, , , 7, , 2
2022/6/9, 19, , , 6, , 1
2022/6/10, 13, , , 5, , 1
2022/6/11, 8, , , 5, , 2
2022/6/12, 12, , , 6, 1, 2
2022/6/13, 23, , , 5, , 2
2022/6/14, 23, , , 1, , 2
2022/6/15, 5, , , 1, , 2
2022/6/16, 34, , , 5, , 2
2022/6/17, 33, , , 6, , 2
2022/6/18, 38, , , 4, , 2
2022/6/19, 35, , , 7, , 2
2022/6/20, 14, , , 3, , 1
2022/6/21, 14, , , 6, , 1
2022/6/22, 18, , , 7, , 2
2022/6/23, 21, , , 4, , 1
2022/6/24, 16, , , 1, , 1
2022/6/25, 19, , , 3, , 1
2022/6/26, 19, , , 5, 2, 1
2022/6/27, 22, , , 7, , 1
2022/6/28, 45, , , 5, , 1
2022/6/29, 43, , , 6, , 1
